EXP	RFLAG	NAME	TYPE	GENE	LINK	CH1I	CH1B	CH1D	CH2I	CH2B	CH2D	CH2IN	CH2BN	CH2DN	RAT1	RAT2	RAT1N	RAT2N	CRT1	CRT2	REGR	CORR	PLAT	PROW	PCOL	FLAG	SPOT	LEFT	TOP	RIGHT	BOT	FAILED	CAT	DESC	CHR	
y744n97		GENOMIC 450NG/UL	CONTROL			333	224	109	384	286	98	483	360	123	  1.11	  0.90	  0.89	  1.13	  1.00	  1.00	  0.97	  0.90	0	A	1	0	1	103	39	112	48	0			0	
y744n97		GENOMIC 150NG/UL	CONTROL			313	220	93	390	284	106	491	357	134	  0.88	  1.14	  0.69	  1.44	  1.00	  1.00	  0.68	  0.81	0	A	2	0	1937	555	44	564	53	0			0	
y744n97		GENOMIC 450NG/UL	CONTROL			415	220	195	461	278	183	580	350	230	  1.07	  0.94	  0.85	  1.18	  1.00	  1.00	  1.01	  0.93	0	A	3	0	2	113	39	122	48	0			0	
y744n97		GENOMIC 150NG/UL	CONTROL			377	235	142	413	272	141	520	342	178	  1.01	  0.99	  0.80	  1.25	  1.00	  1.00	  1.10	  0.79	0	A	4	0	1938	565	44	574	53	0			0	
y744n97		GENOMIC 50NG/UL	CONTROL			504	232	272	509	301	208	641	379	262	  1.31	  0.76	  1.04	  0.96	  1.00	  1.00	  1.17	  0.97	0	A	5	0	3	123	39	132	48	0			0	
y744n97		3XSSC	CONTROL			350	223	127	409	282	127	515	355	160	  1.00	  1.00	  0.79	  1.26	  1.00	  1.00	  0.78	  0.89	0	A	6	0	1939	575	44	584	53	0			0	
y744n97		GENOMIC 50NG/UL	CONTROL			453	217	236	500	288	212	630	362	268	  1.11	  0.90	  0.88	  1.14	  1.00	  1.00	  0.99	  0.95	0	A	7	0	4	133	39	142	48	0			0	
y744n97		3XSSC	CONTROL			641	244	397	649	286	363	817	360	457	  1.09	  0.91	  0.87	  1.15	  1.00	  1.00	  0.93	  0.96	0	A	8	0	1940	585	44	594	53	0			0	
y744n97		POLY A	CONTROL			568	220	348	755	277	478	951	349	602	  0.73	  1.37	  0.58	  1.73	  0.88	  1.13	  0.60	  0.94	0	A	9	0	5	143	39	152	48	0			0	
y744n97		LAMBDA	CONTROL			809	236	573	966	290	676	1217	365	852	  0.85	  1.18	  0.67	  1.49	  0.89	  1.12	  0.69	  0.97	0	A	10	0	1941	595	44	604	53	0			0	
y744n97		POLY A	CONTROL			479	224	255	494	285	209	622	359	263	  1.22	  0.82	  0.97	  1.03	  1.00	  1.00	  0.99	  0.96	0	A	11	0	6	153	39	162	48	0			0	
y744n97		LAMBDA	CONTROL			639	243	396	546	303	243	688	381	307	  1.63	  0.61	  1.29	  0.78	  1.00	  1.00	  1.46	  0.86	0	A	12	0	1942	605	44	614	53	0			0	
y744n97		GENOMIC 450NG/UL	CONTROL			358	234	124	379	290	89	477	365	112	  1.39	  0.72	  1.11	  0.90	  1.00	  1.00	  1.40	  0.85	0	B	1	0	3873	88	488	97	497	0			0	
y744n97		GENOMIC 150NG/UL	CONTROL			307	219	88	374	272	102	471	342	129	  0.86	  1.16	  0.68	  1.47	  1.00	  1.00	  0.60	  0.69	0	B	2	0	5809	551	493	560	502	0			0	
y744n97		GENOMIC 450NG/UL	CONTROL			405	219	186	407	259	148	512	326	186	  1.26	  0.80	  1.00	  1.00	  1.00	  1.00	  1.07	  0.78	0	B	3	0	3874	98	488	107	497	0			0	
y744n97		GENOMIC 150NG/UL	CONTROL			338	215	123	383	267	116	482	336	146	  1.06	  0.94	  0.84	  1.19	  1.00	  1.00	  1.12	  0.58	0	B	4	0	5810	561	493	570	502	0			0	
y744n97		GENOMIC 50NG/UL	CONTROL			339	226	113	363	254	109	457	320	137	  1.04	  0.96	  0.82	  1.21	  1.00	  1.00	  1.03	  0.74	0	B	5	0	3875	108	488	117	497	0			0	
